x,y,label,cluster_size
-8.125300934,113.1375746,10,121
-8.235978533,113.6556952,10,121
-8.36492651,114.205524,10,121
-7.944023451,113.9475505,10,121
-7.801312479,114.0513804,10,121
-7.866519797,113.3208669,10,121
-7.742918172,112.8317397,10,121
-7.452054655,112.7013573,10,121
-7.549867578,112.4852491,10,121
-7.545102366,112.2651295,10,121
-7.597422633,111.9384386,10,121
-7.624222278,111.6457162,10,121
-7.662881343,111.3579023,10,121
-7.439238531,111.3430901,10,121
-7.25543276,111.8098374,10,121
-6.953135777,111.8915124,10,121
-7.131112427,112.300781,10,121
-6.92687014,112.5581483,10,121
-7.044238202,112.9296185,10,121
-7.05198378,113.2562666,10,121
-7.065107563,113.5039147,10,121
-6.988517995,113.8055601,10,121
-7.826305073,112.0138378,10,121
-8.095024344,112.166997,10,121
-7.978964242,112.6363796,10,121
-7.64968892,112.9100683,10,121
-7.471312651,112.4374366,10,121
-7.627983149,111.5281764,10,121
-7.275073278,112.7238066,10,121
-7.833108582,112.5311201,10,121
-6.590230673,105.7429821,10,121
-6.642128896,106.2128536,10,121
-6.174631025,106.5185128,10,121
-6.142218832,106.1466548,10,121
-6.182869413,106.6518228,10,121
-5.998046596,106.019276,10,121
-6.123385997,106.1662987,10,121
-6.301847802,106.7073407,10,121
-8.312522826,114.6826651,10,121
-8.42822166,115.0787775,10,121
-8.583467599,115.1884053,10,121
-8.480494318,115.2875567,10,121
-8.73703083,115.5355211,10,121
-8.293590525,115.3468431,10,121
-8.374201062,115.5300705,10,121
-8.200235853,114.962578,10,121
-8.664408901,116.0942347,11,6
-8.722795723,116.2891437,11,6
-8.533116801,116.5306662,11,6
-8.703221236,117.4849382,-1,0
-8.472142044,118.2168062,12,3
-8.474763734,118.6186198,12,3
-8.829708665,116.9150579,11,6
-8.349040688,116.2834972,11,6
-8.590268777,116.1110931,11,6
-8.455799296,118.7849066,12,3
-9.918213565,123.8599569,13,6
-9.827955929,124.3967496,13,6
-9.377530169,124.5696676,13,6
-9.153849769,124.9684446,13,6
-8.303671588,124.5687627,-1,0
-8.352079729,122.8403161,-1,0
-8.695289145,122.3811576,-1,0
-8.677239516,121.7341317,14,3
-8.667527041,121.0011819,14,3
-8.569361128,120.4015221,-1,0
-9.877298175,120.2549677,-1,0
-9.642180737,119.379714,-1,0
-8.380280744,123.5423442,-1,0
-10.72603537,123.1243574,-1,0
-8.602543537,119.988921,-1,0
-8.688708694,121.2730116,14,3
-9.534243363,119.1800364,-1,0
-9.521769044,124.88932,13,6
-10.20429749,123.6071841,13,6
1.429969997,109.3463846,15,3
0.358335559,109.1560251,16,3
0.268685813,110.4320763,-1,0
-1.633223953,110.6138741,-1,0
0.092636018,112.071524,-1,0
0.835238231,112.8108763,-1,0
1.012033671,109.5644392,15,3
0.516558384,109.7711804,15,3
-0.003879339,110.9513186,-1,0
-0.632635435,111.7275771,-1,0
-1.078590991,110.1137399,-1,0
-0.386740778,109.5374742,16,3
-0.025224698,109.3314103,16,3
0.898524309,109.0348923,-1,0
-2.545690161,111.7468617,-1,0
-2.064990149,112.7130299,-1,0
-1.747850123,114.2980251,-1,0
-1.801865107,114.9240368,-1,0
-0.933064983,115.1347325,-1,0
-1.699876199,113.0598321,-1,0
-2.283010007,112.1762705,-1,0
-2.623038982,111.160905,-1,0
-1.801121247,111.4066788,-1,0
-1.025666744,113.5331618,-1,0
-2.716050764,113.9552127,-1,0
-0.030913824,114.2791012,-1,0
-2.018457282,113.769071,-1,0
-3.818820581,114.9033904,17,9
-3.318252431,115.0883461,17,9
-3.090319819,114.6260715,17,9
-2.924670059,115.0478435,17,9
-2.603491542,115.5021349,17,9
-2.442070173,115.1570758,17,9
-1.886013724,115.5164778,17,9
-3.447356582,115.6545663,-1,0
-2.319139408,115.6421692,17,9
-3.476443995,114.8183911,17,9
-1.733262411,116.0935258,-1,0
0.086740883,116.5126713,-1,0
1.928384072,117.3037789,-1,0
-0.505955244,115.833785,-1,0
0.95772735,117.1384162,-1,0
-1.156951336,116.5967516,-1,0
0.719369958,114.871597,-1,0
-1.159369734,116.8656044,-1,0
-0.500724747,117.178707,-1,0
0.090731902,117.4571523,-1,0
2.81467156,117.0374885,-1,0
2.478197409,115.7168478,-1,0
3.99460807,116.6630141,-1,0
3.359405668,117.5995113,-1,0
0.707929861,124.0402736,-1,0
1.254684129,124.8541691,18,5
3.550699236,125.5413045,-1,0
4.225649391,126.7816336,-1,0
1.084592217,124.5210499,18,5
1.549139496,125.0080532,18,5
0.767951978,123.4811325,19,6
2.726859358,125.3911969,-1,0
0.444233295,123.9328965,-1,0
1.52470759,124.8485575,18,5
1.484776626,125.1614301,18,5
-1.020828293,122.5836429,-1,0
-1.680824946,120.5210919,-1,0
-0.395871307,119.8357214,-1,0
0.926010771,120.7189228,-1,0
0.977976,121.3727786,-1,0
-2.6938583,121.9135837,-1,0
-1.262950103,123.1499003,-1,0
0.401499615,120.2042127,-1,0
-1.11237023,121.5762349,-1,0
-1.408488331,119.9704413,-1,0
-1.65253917,123.5209375,-1,0
-1.941252496,121.1938385,-1,0
-0.829802292,119.909974,-1,0
-6.106145138,120.5097387,-1,0
-5.432469149,120.2360065,20,23
-5.56751727,119.698447,20,23
-5.419755921,119.4705572,20,23
-5.309278914,119.718727,20,23
-5.20974633,120.1358669,20,23
-4.694814847,120.129586,20,23
-5.000696208,119.7247492,20,23
-4.826066776,119.5798267,20,23
-4.441677965,119.6941453,20,23
-4.339045563,119.8921109,20,23
-4.006537658,120.1710001,20,23
-3.807290296,119.9714267,20,23
-3.622456845,119.5999165,20,23
-3.503723924,119.87203,20,23
-3.198548656,120.1825466,20,23
-3.108512497,119.7123754,20,23
-2.394945808,120.160726,-1,0
-2.550678202,121.1385186,-1,0
-2.888179565,119.8689338,20,23
-5.133417533,119.4611466,20,23
-4.029351445,119.661602,20,23
-2.980473971,120.1478824,20,23
-3.921663585,121.5045822,-1,0
-3.525394131,121.8861579,-1,0
-4.262652101,122.4208357,-1,0
-4.797843718,121.8512759,-1,0
-5.531037468,123.7725471,-1,0
-3.385156069,121.9969309,-1,0
-4.695606542,123.0174379,-1,0
-4.817476132,122.4931442,-1,0
-4.000395486,122.5326212,-1,0
0.693794713,122.7107579,19,6
0.655599194,122.3258786,19,6
0.533130022,123.291143,19,6
0.688118052,121.7110374,-1,0
0.886078032,122.6600039,19,6
0.539453806,123.0557941,19,6
-2.530675138,119.3249674,20,23
-2.94880473,119.3118922,20,23
-3.311945672,119.1444812,20,23
-2.007768,119.518437,-1,0
-3.159359609,129.2914508,-1,0
-5.592490506,133.0531152,-1,0
-7.584403153,131.3676494,-1,0
-3.302938246,126.7212858,-1,0
-3.415883579,130.4383099,-1,0
-3.133467046,128.3534783,-1,0
-6.195864751,134.4504113,-1,0
-7.753782233,126.4254631,-1,0
-3.569604776,126.5528232,-1,0
-3.677179782,128.1797046,-1,0
-5.56002475,132.3342306,-1,0
1.364178648,127.589668,-1,0
0.469329855,128.2249936,-1,0
1.542314931,127.8310623,-1,0
-0.615953974,127.5292988,-1,0
1.031173186,128.3085556,-1,0
2.316573112,128.448361,-1,0
-1.818859983,124.7406422,-1,0
0.812539271,127.3437802,-1,0
0.485191913,127.67367,-1,0
